method,epoch,unlearn_remain_sa_year_of_birth,unlearn_remain_sa_address_postcode,unlearn_remain_sa_social_insurance_number,unlearn_remain_sa_blood_type,unlearn_retain_sa_year_of_birth,unlearn_retain_sa_address_postcode,unlearn_retain_sa_social_insurance_number,unlearn_retain_sa_blood_type,recovery_retain_sa_flip_logit-0_year_of_birth,recovery_retain_sa_flip_logit-0_address_postcode,recovery_retain_sa_flip_logit-0_social_insurance_number,recovery_retain_sa_flip_logit-0_blood_type,unlearn_forget_year_of_birth,unlearn_forget_address_postcode,unlearn_forget_social_insurance_number,unlearn_forget_blood_type,recovery_forget_flip_logit-1_year_of_birth,recovery_forget_flip_logit-1_address_postcode,recovery_forget_flip_logit-1_social_insurance_number,recovery_forget_flip_logit-1_blood_type,recovery_forget_beam1_K10_C10_year_of_birth,recovery_forget_beam1_K10_C10_address_postcode,recovery_forget_beam1_K10_C10_social_insurance_number,recovery_forget_beam1_K10_C10_blood_type,recovery_forget_beam0_K10_C10_year_of_birth,recovery_forget_beam0_K10_C10_address_postcode,recovery_forget_beam0_K10_C10_social_insurance_number,recovery_forget_beam0_K10_C10_blood_type,recovery_forget_beam0_K10_C3_year_of_birth,recovery_forget_beam0_K10_C3_address_postcode,recovery_forget_beam0_K10_C3_social_insurance_number,recovery_forget_beam0_K10_C3_blood_type,recovery_forget_flip_logit-0_year_of_birth,recovery_forget_flip_logit-0_address_postcode,recovery_forget_flip_logit-0_social_insurance_number,recovery_forget_flip_logit-0_blood_type,recovery_forget_beam1_K10_C3_year_of_birth,recovery_forget_beam1_K10_C3_address_postcode,recovery_forget_beam1_K10_C3_social_insurance_number,recovery_forget_beam1_K10_C3_blood_type,recovery_forget_flip0_year_of_birth,recovery_forget_flip0_address_postcode,recovery_forget_flip0_social_insurance_number,recovery_forget_flip0_blood_type,recovery_forget_flip1_year_of_birth,recovery_forget_flip1_address_postcode,recovery_forget_flip1_social_insurance_number,recovery_forget_flip1_blood_type,recovery_retain_sa_flip0_year_of_birth,recovery_retain_sa_flip0_address_postcode,recovery_retain_sa_flip0_social_insurance_number,recovery_retain_sa_flip0_blood_type
grad_ascent,12,1343.24,5.61,7.957894736842105,1.0,0,0,7.0,0,0.0,0.0,7.0,0.0,0,0,9.0,0,0.0,0.0,4.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,
grad_ascent,4,0.7475,1.455,5.315789473684211,0.0425,0,0,4.375,0,0.0,0.0,4.4375,0.0,0,0,8.0,0,0.0,0.0,5.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,
grad_ascent,16,1343.24,5.61,7.934210526315789,1.0,0,0,7.0,0,0.0,0.0,7.0,0.0,0,0,9.0,0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.25,0.0,,,,,,,,,,,,
po,10,136.03,0.8325,1.0315789473684212,0.095,0,0,0.0,0,,,,,0,0,9.0,0,,,,,,,,,,,,,0.0,0.0,3.0,0.0,,,,,0.0,0.0,6.25,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
po,12,110.2375,0.75,0.8631578947368421,0.095,0,0,0.0,0,,,,,0,0,9.0,0,,,,,,,,,,,,,0.0,0.0,7.0,0.0,,,,,0.0,0.0,7.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,7.75,0.0,0.0,0.0,0.0,0.0
po,2,675.955,1.6125,6.005263157894737,0.1375,0,0,5.5,0,,,,,0,0,9.0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0625,0.0
po,20,423.425,0.7675,1.1657894736842105,0.1125,0,0,0.125,0,,,,,0,0,9.0,0,,,,,,,,,,,,,0.0,0.0,7.0,0.0,,,,,0.0,0.0,6.75,0.0,0.0,0.0,8.5,0.0,0.0,0.0,8.25,0.0,0.0,0.0,0.25,0.0
po,16,284.42,1.69,1.2894736842105263,0.14,0,0,0.0,0,,,,,0,0,9.0,0,,,,,,,,,,,,,0.0,0.0,7.0,0.0,,,,,0.0,0.0,7.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,8.25,0.0,0.0,0.0,0.0,0.0
po,6,408.055,2.1025,2.168421052631579,0.22,0,0,0.25,0,,,,,0,0,9.0,0,,,,,,,,,,,,,0.0,0.0,1.25,0.0,,,,,0.0,0.0,6.25,0.0,0.0,0.0,3.25,0.0,0.0,0.0,6.75,0.0,0.0,0.0,0.25,0.0
po,8,717.39,2.325,2.5763157894736843,0.3075,0,0,1.6875,0,,,,,0,0,9.0,0,,,,,,,,,,,,,0.0,0.0,2.0,0.0,,,,,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.75,0.0,0.0,0.0,0.0,0.0
po,18,308.9675,0.9325,1.3473684210526315,0.085,0,0,0.0625,0,,,,,0,0,9.0,0,,,,,,,,,,,,,0.0,0.0,7.5,0.0,,,,,0.0,0.0,6.5,0.0,0.0,0.0,8.25,0.0,0.0,0.0,8.25,0.0,0.0,0.0,0.0,0.0
po,24,329.0125,0.94,1.1078947368421053,0.12,0,0,0.0,0,,,,,0,0,9.0,0,,,,,,,,,,,,,0.0,0.0,7.5,0.0,,,,,0.0,0.0,6.5,0.0,0.0,0.0,9.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
po,22,448.3725,0.865,1.3657894736842104,0.1075,0,0,0.5,0,,,,,0,0,8.75,0,,,,,,,,,,,,,0.0,0.0,7.0,0.0,,,,,0.0,0.0,6.5,0.0,0.0,0.0,8.25,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.5,0.0
po,4,502.69,2.7175,2.039473684210526,0.2525,0,0,0.5625,0,,,,,0,0,9.0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,6.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0
po,14,146.06,1.1325,1.0421052631578946,0.1275,0,0,0.25,0,,,,,0,0,9.0,0,,,,,,,,,,,,,0.0,0.0,6.25,0.0,,,,,0.0,0.0,7.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.25,0.0
grad_diff,18,738.25,4.21,7.092105263157895,0.425,0,0,5.625,0,0.0,0.0,5.6875,0.0,0,0,8.0,0,0.0,0.0,6.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,
grad_diff,8,1649.315,4.5025,8.094736842105263,0.755,0,0,7.8125,0,0.0,0.0,5.375,0.0,0,0,8.0,0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,,,,,,,,,,,,
grad_diff,24,554.6475,4.715,7.0552631578947365,0.34,0,0,5.0625,0,0.0,0.0,5.125,0.0,0,0,8.0,0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,,,,,,,,,,,,
grad_diff,20,900.155,4.6775,7.1421052631578945,0.47,0,0,4.875,0,0.0,0.0,4.75,0.0,0,0,8.0,0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.25,0.0,,,,,,,,,,,,
grad_diff,16,776.7675,4.3175,7.03421052631579,0.4575,0,0,5.625,0,0.0,0.0,6.0,0.0,0,0,8.0,0,0.0,0.0,7.5,0.0,0.0,0.0,6.5,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,6.5,0.0,,,,,,,,,,,,
grad_diff,4,5939.85,5.045,7.255263157894737,0.83,0,0,7.25,0,0.0,0.0,6.9375,0.0,0,0,7.0,0,0.0,0.0,7.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,6.25,0.0,0.0,0.0,6.25,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,,,,,,,,,,,,
grad_diff,12,2049.7625,5.46,7.821052631578947,0.93,0,0,7.125,0,0.0,0.0,6.75,0.0,0,0,8.0,0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,,,,,,,,,,,,
grad_diff,22,920.7475,4.8725,7.2026315789473685,0.47,0,0,4.25,0,0.0,0.0,3.9375,0.0,0,0,8.0,0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.75,0.0,,,,,,,,,,,,
grad_diff,6,1106.78,4.2675,7.705263157894737,0.5725,0,0,7.125,0,0.0,0.0,6.6875,0.0,0,0,7.75,0,0.0,0.0,7.0,0.0,0.0,0.0,5.75,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.75,0.0,,,,,,,,,,,,
grad_diff,10,1966.6875,5.5625,8.131578947368421,0.935,0,0,7.75,0,0.0,0.0,7.125,0.0,0,0,8.0,0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,,,,,,,,,,,,
grad_diff,2,0.185,0.2175,0.9368421052631579,0.025,0,0,0.25,0,0.0,0.0,0.25,0.0,0,0,7.75,0,0.0,0.0,7.5,0.0,0.0,0.0,6.25,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.75,0.0,0.0,0.0,6.75,0.0,,,,,,,,,,,,
grad_diff,14,469.1575,5.0825,7.5,0.615,0,0,7.0,0,0.0,0.0,6.1875,0.0,0,0,8.0,0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,,,,,,,,,,,,
dpo,14,86.1025,0.5175,1.0473684210526315,0.0625,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,9.0,0,0.0,0.0,6.75,0.0,0.0,0.0,5.75,0.0,0.0,0.0,4.75,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,6.25,0.0,,,,,,,,,,,,
dpo,8,45.1225,0.385,0.46578947368421053,0.0725,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,9.0,0,0.0,0.0,6.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,6.25,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,
dpo,2,1659.9775,1.6975,7.363157894736842,0.225,0,0,7.25,0,0.0,0.0,1.375,0.0,0,0,9.0,0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.5,0.0,,,,,,,,,,,,
dpo,22,579.555,1.2525,2.113157894736842,0.0975,0,0,1.125,0,0.0,0.0,0.0,0.0,0,0,9.0,0,0.0,0.0,6.75,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,,,,,,,,,,,,
dpo,6,20.16,0.3575,0.6052631578947368,0.0625,0,0,0.125,0,0.0,0.0,0.1875,0.0,0,0,9.0,0,0.0,0.0,6.0,0.0,0.0,0.0,5.25,0.0,0.0,0.0,5.75,0.0,0.0,0.0,5.25,0.0,0.0,0.0,6.5,0.0,0.0,0.0,5.5,0.0,,,,,,,,,,,,
dpo,4,64.8775,0.5975,2.0763157894736843,0.085,0,0,1.9375,0,0.0,0.0,0.75,0.0,0,0,9.0,0,0.0,0.0,6.5,0.0,0.0,0.0,6.25,0.0,0.0,0.0,6.5,0.0,0.0,0.0,6.25,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.75,0.0,,,,,,,,,,,,
dpo,16,268.96,0.545,1.1657894736842105,0.0675,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,9.0,0,0.0,0.0,6.5,0.0,0.0,0.0,5.75,0.0,0.0,0.0,5.25,0.0,0.0,0.0,5.75,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,,,,,,,,,,,,
dpo,18,382.62,0.65,1.4210526315789473,0.0725,0,0,0.5,0,0.0,0.0,0.0,0.0,0,0,9.0,0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,,,,,,,,,,,,
dpo,12,53.1025,0.4375,0.6684210526315789,0.0625,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,9.0,0,0.0,0.0,6.25,0.0,0.0,0.0,5.75,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,,,,,,,,,,,,
dpo,24,414.2425,1.64,2.386842105263158,0.1325,0,0,1.125,0,0.0,0.0,0.0,0.0,0,0,8.5,0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,6.0,0.0,,,,,,,,,,,,
dpo,20,490.525,0.8625,1.8842105263157896,0.09,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,9.0,0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,,,,,,,,,,,,
npo,10,6.3675,0.905,1.9052631578947368,0.0475,0,0,0.75,0,0.0,0.0,0.75,0.0,0,0,6.0,0,0.0,0.0,6.25,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.25,0.0,,,,,,,,,,,,
npo,14,5.605,0.6725,2.1657894736842107,0.0425,0,0,1.4375,0,0.0,0.0,1.625,0.0,0,0,7.25,0,0.0,0.0,5.5,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,,,,,,,,,,,,
npo,22,0.425,1.0825,3.913157894736842,0.0525,0,0,0.75,0,0.0,0.0,0.375,0.0,0,0,7.0,0,0.0,0.0,8.0,0.0,0.0,0.0,4.75,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,,,,,,,,,,,,
npo,4,35.2575,0.715,3.613157894736842,0.03,0,0,1.25,0,0.0,0.0,1.25,0.0,0,0,7.0,0,0.0,0.0,8.0,0.0,0.0,0.0,4.25,0.0,0.0,0.0,6.5,0.0,0.0,0.0,6.25,0.0,0.0,0.0,6.75,0.0,0.0,0.0,4.75,0.0,,,,,,,,,,,,
npo,2,0.2075,0.27,1.8,0.02,0,0,1.4375,0,0.0,0.0,1.1875,0.0,0,0,8.0,0,0.0,0.0,7.25,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,
npo,16,0.495,0.6525,2.0605263157894735,0.0425,0,0,1.1875,0,0.0,0.0,1.0,0.0,0,0,7.0,0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,6.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,
npo,18,0.47,0.745,2.6289473684210525,0.0325,0,0,1.4375,0,0.0,0.0,1.25,0.0,0,0,7.25,0,0.0,0.0,6.75,0.0,0.0,0.0,5.5,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.25,0.0,0.0,0.0,5.25,0.0,,,,,,,,,,,,
npo,12,28.095,0.915,2.210526315789474,0.0475,0,0,0.5625,0,0.0,0.0,0.5,0.0,0,0,6.0,0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,
npo,8,1.17,0.8725,1.8710526315789473,0.045,0,0,0.75,0,0.0,0.0,0.75,0.0,0,0,6.0,0,0.0,0.0,5.75,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,
npo,24,0.39,0.91,3.0736842105263156,0.0475,0,0,0.25,0,0.0,0.0,0.25,0.0,0,0,6.0,0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.75,0.0,0.0,0.0,6.5,0.0,0.0,0.0,6.0,0.0,,,,,,,,,,,,
npo,20,0.4075,0.8675,3.6184210526315788,0.035,0,0,1.25,0,0.0,0.0,1.25,0.0,0,0,7.0,0,0.0,0.0,5.75,0.0,0.0,0.0,4.5,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,,,,,,,,,,,,
npo,6,0.9575,0.7025,1.981578947368421,0.0325,0,0,0.5,0,0.0,0.0,0.5,0.0,0,0,7.0,0,0.0,0.0,5.75,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,
