method,epoch,unlearn_retain_sa_year_of_birth,unlearn_retain_sa_address_postcode,unlearn_retain_sa_social_insurance_number,unlearn_retain_sa_blood_type,recovery_retain_sa_flip0_year_of_birth,recovery_retain_sa_flip0_address_postcode,recovery_retain_sa_flip0_social_insurance_number,recovery_retain_sa_flip0_blood_type,unlearn_remain_sa_year_of_birth,unlearn_remain_sa_address_postcode,unlearn_remain_sa_social_insurance_number,unlearn_remain_sa_blood_type,unlearn_forget_year_of_birth,unlearn_forget_address_postcode,unlearn_forget_social_insurance_number,unlearn_forget_blood_type,recovery_forget_flip0_year_of_birth,recovery_forget_flip0_address_postcode,recovery_forget_flip0_social_insurance_number,recovery_forget_flip0_blood_type,recovery_forget_flip1_year_of_birth,recovery_forget_flip1_address_postcode,recovery_forget_flip1_social_insurance_number,recovery_forget_flip1_blood_type,recovery_forget_beam0_K10_C3_year_of_birth,recovery_forget_beam0_K10_C3_address_postcode,recovery_forget_beam0_K10_C3_social_insurance_number,recovery_forget_beam0_K10_C3_blood_type,recovery_forget_beam1_K10_C3_year_of_birth,recovery_forget_beam1_K10_C3_address_postcode,recovery_forget_beam1_K10_C3_social_insurance_number,recovery_forget_beam1_K10_C3_blood_type,recovery_retain_sa_flip_logit-0_year_of_birth,recovery_retain_sa_flip_logit-0_address_postcode,recovery_retain_sa_flip_logit-0_social_insurance_number,recovery_retain_sa_flip_logit-0_blood_type,recovery_forget_flip_logit-1_year_of_birth,recovery_forget_flip_logit-1_address_postcode,recovery_forget_flip_logit-1_social_insurance_number,recovery_forget_flip_logit-1_blood_type,recovery_forget_beam0_K10_C10_year_of_birth,recovery_forget_beam0_K10_C10_address_postcode,recovery_forget_beam0_K10_C10_social_insurance_number,recovery_forget_beam0_K10_C10_blood_type,recovery_forget_beam1_K10_C10_year_of_birth,recovery_forget_beam1_K10_C10_address_postcode,recovery_forget_beam1_K10_C10_social_insurance_number,recovery_forget_beam1_K10_C10_blood_type,recovery_forget_flip_logit-0_year_of_birth,recovery_forget_flip_logit-0_address_postcode,recovery_forget_flip_logit-0_social_insurance_number,recovery_forget_flip_logit-0_blood_type
po,10,0,0,1.3125,0,0.0,0.0,0.1875,0.0,49.88,0.4325,0.6043956043956044,0.0475,0,0,7.0,0,0.0,0.0,0.5,0.0,0.0,0.0,8.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po,4,0,0,7.3125,0,0.0,0.0,0.0,0.0,1074.165,3.6075,4.5054945054945055,0.565,0,0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,
KL,14,0,0,8.25,0,,,,,878.76,5.68,8.153846153846153,1.0,0,0,8.0,0,,,,,,,,,0.0,0.0,7.5,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.25,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0
KL,6,0,0,7.59375,0,,,,,108.585,3.1475,6.958791208791209,0.475,0,0,6.75,0,,,,,,,,,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.6875,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.75,0.0
KL,18,0,0,8.25,0,,,,,503.71,5.6075,8.153846153846153,0.9975,0,0,8.0,0,,,,,,,,,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,8.125,0.0,0.0,0.0,6.75,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,8.0,0.0
KL,10,0,0,8.25,0,,,,,878.76,5.68,8.153846153846153,1.0,0,0,8.0,0,,,,,,,,,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.25,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0
KL,2,0,0,0.4375,0,,,,,0.33,0.3275,0.9697802197802198,0.045,0,0,5.0,0,,,,,,,,,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.40625,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,5.0,0.0
KL,8,0,0,8.25,0,,,,,848.35,5.6525,8.153846153846153,1.0,0,0,8.0,0,,,,,,,,,0.0,0.0,7.75,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.25,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.75,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0
KL,22,0,0,8.25,0,,,,,323.435,5.445,8.178571428571429,0.915,0,0,8.0,0,,,,,,,,,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.53125,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0
KL,12,0,0,8.25,0,,,,,878.76,5.68,8.153846153846153,1.0,0,0,8.0,0,,,,,,,,,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.25,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0
KL,16,0,0,8.25,0,,,,,850.915,5.68,8.153846153846153,1.0,0,0,8.0,0,,,,,,,,,0.0,0.0,8.0,0.0,0.0,0.0,5.75,0.0,0.0,0.0,8.1875,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.75,0.0,0.0,0.0,8.0,0.0
KL,4,0,0,6.625,0,,,,,13.575,1.8475,6.266483516483516,0.435,0,0,6.0,0,,,,,,,,,0.0,0.0,6.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,6.84375,0.0,0.0,0.0,7.25,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,6.0,0.0
KL,20,0,0,8.25,0,,,,,264.0025,5.4775,8.167582417582418,0.97,0,0,8.0,0,,,,,,,,,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.75,0.0,0.0,0.0,6.75,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0
KL,24,0,0,7.875,0,,,,,368.475,5.425,8.153846153846153,0.905,0,0,8.0,0,,,,,,,,,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.375,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0
grad_ascent,6,0,0,8.125,0,,,,,1341.56,5.605,8.10989010989011,1.0,0,0,8.0,0,,,,,,,,,0.0,0.0,8.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,8.0,0.0
grad_ascent,22,0,0,8.125,0,,,,,1343.24,5.61,8.10989010989011,1.0,0,0,8.0,0,,,,,,,,,0.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0
grad_ascent,8,0,0,8.125,0,,,,,1343.24,5.61,8.10989010989011,1.0,0,0,8.0,0,,,,,,,,,0.0,0.0,7.25,0.0,0.0,0.0,6.25,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,8.0,0.0
grad_ascent,2,0,0,0.59375,0,,,,,0.2025,0.24,0.7939560439560439,0.05,0,0,5.0,0,,,,,,,,,0.0,0.0,5.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.40625,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,5.0,0.0
grad_ascent,10,0,0,8.125,0,,,,,1343.24,5.61,8.10989010989011,1.0,0,0,8.0,0,,,,,,,,,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0
grad_ascent,14,0,0,8.125,0,,,,,1343.24,5.61,8.10989010989011,1.0,0,0,8.0,0,,,,,,,,,0.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0
grad_ascent,24,0,0,8.125,0,,,,,1343.24,5.61,8.10989010989011,1.0,0,0,8.0,0,,,,,,,,,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0
grad_ascent,18,0,0,8.125,0,,,,,1343.24,5.61,8.10989010989011,1.0,0,0,8.0,0,,,,,,,,,0.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.09375,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0
grad_ascent,20,0,0,8.125,0,,,,,1343.24,5.61,8.10989010989011,1.0,0,0,8.0,0,,,,,,,,,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.125,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,8.0,0.0
grad_ascent,4,0,0,7.125,0,,,,,61.9375,2.9125,6.516483516483516,0.4875,0,0,7.0,0,,,,,,,,,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.09375,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0
grad_ascent,16,0,0,8.125,0,,,,,1343.24,5.61,8.10989010989011,1.0,0,0,8.0,0,,,,,,,,,0.0,0.0,7.25,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0
grad_ascent,12,0,0,8.125,0,,,,,1343.24,5.61,8.10989010989011,1.0,0,0,8.0,0,,,,,,,,,0.0,0.0,7.75,0.0,0.0,0.0,6.25,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,8.0,0.0
dpo,16,0,0,0.375,0,,,,,0.43,0.455,1.0027472527472527,0.0275,0,0,6.0,0,,,,,,,,,0.0,0.0,5.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.375,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.75,0.0,0.0,0.0,6.0,0.0
dpo,12,0,0,0.0,0,,,,,0.3575,0.2375,0.2967032967032967,0.03,0,0,6.0,0,,,,,,,,,0.0,0.0,5.0,0.0,0.0,0.0,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.25,0.0,0.0,0.0,6.0,0.0
dpo,24,0,0,0.875,0,,,,,0.235,0.6125,1.9203296703296704,0.08,0,0,6.0,0,,,,,,,,,0.0,0.0,5.5,0.0,0.0,0.0,6.75,0.0,0.0,0.0,0.875,0.0,0.0,0.0,7.75,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.25,0.0,0.0,0.0,6.0,0.0
dpo,4,0,0,4.625,0,,,,,570.81,2.2225,0.6401098901098901,0.1825,0,0,9.0,0,,,,,,,,,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.6875,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.75,0.0,0.0,0.0,5.0,0.0
dpo,18,0,0,0.40625,0,,,,,5.365,0.6425,1.315934065934066,0.035,0,0,6.0,0,,,,,,,,,0.0,0.0,5.0,0.0,0.0,0.0,7.25,0.0,0.0,0.0,0.40625,0.0,0.0,0.0,8.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0
dpo,20,0,0,0.25,0,,,,,2.7925,0.655,1.8021978021978022,0.07,0,0,6.25,0,,,,,,,,,0.0,0.0,5.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,7.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,6.25,0.0
dpo,10,0,0,0.0,0,,,,,0.41,0.23,0.29945054945054944,0.02,0,0,6.0,0,,,,,,,,,0.0,0.0,5.0,0.0,0.0,0.0,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,6.0,0.0
dpo,14,0,0,0.25,0,,,,,0.3775,0.3425,0.6978021978021978,0.03,0,0,6.0,0,,,,,,,,,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,8.75,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.75,0.0,0.0,0.0,6.0,0.0
dpo,8,0,0,2.28125,0,,,,,42.3675,0.44,0.3708791208791209,0.0425,0,0,8.25,0,,,,,,,,,0.0,0.0,5.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,0.875,0.0,0.0,0.0,7.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.25,0.0
dpo,22,0,0,1.09375,0,,,,,3.475,0.7975,2.7554945054945055,0.0875,0,0,6.0,0,,,,,,,,,0.0,0.0,5.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.8125,0.0,0.0,0.0,7.25,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0
dpo,2,0,0,1.65625,0,,,,,1004.055,1.685,1.4752747252747254,0.145,0,0,1.75,0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,1.75,0.0
dpo,6,0,0,4.25,0,,,,,40.1575,0.895,0.6071428571428571,0.065,0,0,9.0,0,,,,,,,,,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,7.25,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,5.0,0.0
npo,8,0,0,0.96875,0,,,,,9.23,0.8,2.8104395604395602,0.0525,0,0,5.5,0,,,,,,,,,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,6.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,5.5,0.0
npo,22,0,0,1.09375,0,,,,,0.675,0.905,1.8186813186813187,0.0275,0,0,5.5,0,,,,,,,,,0.0,0.0,5.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.78125,0.0,0.0,0.0,7.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.5,0.0
npo,4,0,0,4.46875,0,,,,,9.72,1.455,5.357142857142857,0.41,0,0,7.0,0,,,,,,,,,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.125,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0
npo,14,0,0,0.34375,0,,,,,0.705,0.6,1.989010989010989,0.0275,0,0,6.0,0,,,,,,,,,0.0,0.0,5.0,0.0,0.0,0.0,4.25,0.0,0.0,0.0,0.125,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.25,0.0,0.0,0.0,6.75,0.0,0.0,0.0,6.0,0.0
npo,10,0,0,0.875,0,,,,,0.4575,0.6675,2.2747252747252746,0.035,0,0,6.0,0,,,,,,,,,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.71875,0.0,0.0,0.0,6.75,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0
npo,20,0,0,0.4375,0,,,,,0.64,0.605,1.7664835164835164,0.025,0,0,5.75,0,,,,,,,,,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.4375,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,5.75,0.0
npo,18,0,0,0.5,0,,,,,0.96,0.5425,1.9368131868131868,0.03,0,0,6.75,0,,,,,,,,,0.0,0.0,5.25,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,8.75,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0
npo,6,0,0,1.96875,0,,,,,2.1,1.0325,3.6263736263736264,0.0875,0,0,6.0,0,,,,,,,,,0.0,0.0,5.0,0.0,0.0,0.0,5.75,0.0,0.0,0.0,1.84375,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0
npo,24,0,0,1.5625,0,,,,,0.8775,1.17,1.9065934065934067,0.0275,0,0,5.5,0,,,,,,,,,0.0,0.0,5.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,1.6875,0.0,0.0,0.0,7.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,5.5,0.0
npo,2,0,0,0.90625,0,,,,,0.46,0.31,1.2692307692307692,0.045,0,0,5.0,0,,,,,,,,,0.0,0.0,5.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,5.0,0.0
npo,12,0,0,0.71875,0,,,,,0.5475,0.7925,2.181318681318681,0.04,0,0,6.75,0,,,,,,,,,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.65625,0.0,0.0,0.0,7.25,0.0,0.0,0.0,5.25,0.0,0.0,0.0,6.75,0.0,0.0,0.0,6.75,0.0
npo,16,0,0,0.25,0,,,,,0.92,0.5375,2.1016483516483517,0.0275,0,0,6.75,0,,,,,,,,,0.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,7.25,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,6.75,0.0
grad_diff,8,0,0,1.84375,0,,,,,2.04,1.115,4.25,0.19,0,0,6.0,0,,,,,,,,,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.84375,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0
grad_diff,22,0,0,2.09375,0,,,,,5260.6575,4.0025,5.541208791208791,0.48,0,0,8.0,0,,,,,,,,,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
grad_diff,24,0,0,2.5,0,,,,,2899.11,2.37,4.3076923076923075,0.145,0,0,8.0,0,,,,,,,,,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
grad_diff,14,0,0,1.40625,0,,,,,66.3225,1.28,4.403846153846154,0.2875,0,0,7.5,0,,,,,,,,,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0
grad_diff,10,0,0,0.5,0,,,,,1.535,0.825,3.5274725274725274,0.13,0,0,7.0,0,,,,,,,,,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.40625,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0
grad_diff,6,0,0,3.90625,0,,,,,17.86,1.7475,5.958791208791209,0.3075,0,0,6.0,0,,,,,,,,,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.78125,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0
grad_diff,16,0,0,7.09375,0,,,,,1557.2475,5.0525,6.934065934065934,0.93,0,0,8.0,0,,,,,,,,,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21875,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
grad_diff,2,0,0,0.4375,0,,,,,0.215,0.2425,0.804945054945055,0.035,0,0,5.0,0,,,,,,,,,0.0,0.0,5.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,5.0,0.0
grad_diff,18,0,0,5.0,0,,,,,3206.585,4.74,6.791208791208791,0.845,0,0,8.0,0,,,,,,,,,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
grad_diff,20,0,0,2.6875,0,,,,,4739.925,4.4475,6.076923076923077,0.7025,0,0,7.75,0,,,,,,,,,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,0.0
grad_diff,12,0,0,1.0,0,,,,,1.4675,0.7125,3.392857142857143,0.1525,0,0,9.0,0,,,,,,,,,0.0,0.0,7.75,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.75,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.75,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0
